language,total_posts,manipulative_posts,review_posts,review_high_posts,avg_risk,manipulative_rate,review_high_rate
af,3,0,0,0,0.08415854028700302,0.0,0.0
am,3,0,0,0,0.04807770304000277,0.0,0.0
an,6,0,0,0,0.06530884049783839,0.0,0.0
az,19,0,0,0,0.07452087193424037,0.0,0.0
be,6,0,1,1,0.19898985042374354,0.0,0.16666666666666666
bg,62,0,1,1,0.13957127315975032,0.0,0.016129032258064516
bn,78,0,0,0,0.12204375568384321,0.0,0.0
br,4,0,0,0,0.1506721719930447,0.0,0.0
bs,6,0,0,0,0.09020762743114558,0.0,0.0
ce,1,0,0,0,0.007687196377481162,0.0,0.0
cs,120,0,0,0,0.10241692065997333,0.0,0.0
cy,8,0,1,1,0.22349377305517767,0.0,0.125
el,112,0,2,2,0.1676897011988738,0.0,0.017857142857142856
eu,15,0,1,1,0.15686437108583287,0.0,0.06666666666666667
fi,210,0,5,5,0.1155459280037494,0.0,0.023809523809523808
fy,1,0,0,0,0.13435872943746294,0.0,0.0
ga,7,0,0,0,0.16382834037820646,0.0,0.0
gl,41,0,1,1,0.10721080875031096,0.0,0.024390243902439025
gu,1,0,0,0,0.18676843435198973,0.0,0.0
gv,2,0,0,0,0.09244769970898598,0.0,0.0
he,118,0,2,2,0.10295130966359158,0.0,0.01694915254237288
hr,83,0,1,1,0.18003152553876262,0.0,0.012048192771084338
ht,4,0,0,0,0.059238467517762135,0.0,0.0
hu,205,0,3,3,0.10924561560363799,0.0,0.014634146341463415
hy,4,0,0,0,0.20002373839209792,0.0,0.0
ia,8,0,0,0,0.1160244030353566,0.0,0.0
io,4,0,0,0,0.04878785162745369,0.0,0.0
is,9,0,1,1,0.2681978253418824,0.0,0.1111111111111111
jv,2,0,0,0,0.026306163906652632,0.0,0.0
kk,3,0,0,0,0.14305035169483699,0.0,0.0
kn,4,0,0,0,0.07889658653527232,0.0,0.0
ku,5,0,0,0,0.09782367353677443,0.0,0.0
kw,1,0,0,0,0.23102539610412962,0.0,0.0
ky,1,0,0,0,0.09606964557297396,0.0,0.0
lb,2,0,0,0,0.3017488203095821,0.0,0.0
lt,37,0,0,0,0.1895627946784758,0.0,0.0
lv,26,0,0,0,0.07107488081079838,0.0,0.0
ml,13,0,0,0,0.24095424223619824,0.0,0.0
mr,11,0,0,0,0.10172871904971234,0.0,0.0
mt,1,0,0,0,0.054841877417469626,0.0,0.0
my,2,0,0,0,0.09413622374717218,0.0,0.0
ne,4,0,0,0,0.01039791160830429,0.0,0.0
nn,6,0,0,0,0.11071628826816693,0.0,0.0
no,66,0,1,1,0.11504161136770846,0.0,0.015151515151515152
oc,13,0,0,0,0.11719302588825177,0.0,0.0
os,1,0,0,0,0.18322798235929003,0.0,0.0
ps,6,0,0,0,0.08727078910345883,0.0,0.0
qu,2,0,0,0,0.002359462275644891,0.0,0.0
ro,95,0,1,1,0.14679559248551285,0.0,0.010526315789473684
sc,1,0,0,0,0.27330527025225054,0.0,0.0
sd,4,0,0,0,0.08079404569592118,0.0,0.0
si,6,0,0,0,0.20650742195455493,0.0,0.0
sl,55,0,1,1,0.11438679466764307,0.0,0.01818181818181818
so,1,0,0,0,0.014916224346186061,0.0,0.0
sq,26,0,2,2,0.24335943467536209,0.0,0.07692307692307693
sr,151,0,1,1,0.1434893530952957,0.0,0.006622516556291391
su,6,0,0,0,0.08538648936267078,0.0,0.0
ta,29,0,1,1,0.2354912902028866,0.0,0.034482758620689655
te,24,0,0,0,0.30859410394064873,0.0,0.0
tl,77,0,3,3,0.08692814210399297,0.0,0.03896103896103896
tt,2,0,0,0,0.20879170882954318,0.0,0.0
uk,240,0,6,6,0.10402616847305,0.0,0.025
ur,113,0,0,0,0.0710884945126503,0.0,0.0
uz,10,0,0,0,0.0994155268423403,0.0,0.0
vi,68,0,2,2,0.09137456206802687,0.0,0.029411764705882353
wa,1,0,0,0,0.03691570539831075,0.0,0.0
